id,order_id,product_id,quantity
1,99,4,1
2,61,33,3
3,97,29,5
4,93,21,4
5,191,29,3
6,188,32,5
7,22,1,4
8,100,22,1
9,99,21,1
10,105,23,2
11,25,42,3
12,125,3,4
13,27,41,1
14,158,23,4
15,180,22,2
16,37,8,2
17,153,34,4
18,174,26,2
19,57,17,2
20,105,43,2
21,4,17,1
22,57,49,2
23,116,42,5
24,61,12,2
25,28,40,3
26,77,44,2
27,139,49,5
28,30,23,1
29,162,9,2
30,147,13,5
31,60,19,3
32,158,12,4
33,194,24,3
34,105,34,3
35,135,33,3
36,81,5,2
37,190,30,1
38,181,7,2
39,126,24,5
40,127,47,3
41,161,33,4
42,72,13,3
43,9,41,2
44,113,21,2
45,109,49,1
46,142,41,5
47,108,43,2
48,151,20,4
49,131,18,4
50,145,1,3
51,49,34,5
52,70,33,4
53,96,41,5
54,18,20,4
55,21,47,1
56,122,49,1
57,67,44,3
58,148,38,4
59,28,17,5
60,123,12,3
61,78,17,5
62,92,36,5
63,44,24,1
64,20,48,2
65,41,50,5
66,168,1,2
67,49,34,2
68,2,35,1
69,177,21,2
70,105,45,5
71,92,26,1
72,141,1,3
73,29,44,4
74,140,15,4
75,167,33,5
76,37,9,3
77,76,23,3
78,161,28,3
79,41,18,3
80,6,2,3
81,29,20,1
82,69,41,1
83,92,12,4
84,94,41,2
85,191,17,2
86,116,28,4
87,154,17,3
88,111,31,5
89,111,9,5
90,3,27,5
91,57,3,1
92,169,25,3
93,92,4,2
94,155,48,5
95,152,35,2
96,197,9,2
97,77,37,5
98,197,2,3
99,126,36,3
100,92,43,3
101,60,6,3
102,17,2,1
103,79,27,3
104,3,18,1
105,121,17,4
106,12,2,2
107,182,19,4
108,133,44,3
109,41,16,4
110,169,48,2
111,138,48,1
112,88,1,1
113,89,17,5
114,43,38,4
115,93,45,1
116,67,34,5
117,42,38,2
118,84,10,2
119,106,3,3
120,197,15,2
121,117,44,4
122,90,21,5
123,154,31,5
124,4,11,3
125,185,10,2
126,120,26,2
127,86,29,3
128,139,43,5
129,66,21,4
130,169,19,3
131,31,22,5
132,199,40,2
133,190,11,4
134,16,21,1
135,170,28,3
136,40,20,4
137,72,31,5
138,169,34,1
139,153,44,4
140,5,36,1
141,95,4,5
142,136,28,2
143,58,10,1
144,44,43,5
145,90,19,4
146,174,46,3
147,33,45,3
148,190,45,4
149,153,3,5
150,51,36,2
151,148,17,1
152,51,34,1
153,108,23,3
154,46,10,4
155,96,32,1
156,67,41,2
157,110,33,2
158,7,21,4
159,125,29,5
160,101,19,3
161,34,5,5
162,28,7,5
163,21,26,4
164,154,35,3
165,2,3,1
166,145,24,3
167,175,31,5
168,104,36,1
169,101,24,2
170,184,19,5
171,103,41,5
172,132,33,1
173,58,12,1
174,47,22,1
175,43,44,1
176,113,47,5
177,116,29,1
178,30,33,2
179,140,16,3
180,39,31,5
181,167,35,4
182,159,21,2
183,58,14,5
184,48,7,3
185,91,1,3
186,54,39,2
187,186,25,2
188,136,1,5
189,178,15,3
190,194,5,2
191,131,47,4
192,158,48,4
193,43,38,3
194,27,3,2
195,63,43,3
196,150,45,5
197,98,22,2
198,131,1,1
199,129,24,3
200,154,26,5
201,92,7,5
202,132,2,5
203,20,28,5
204,138,2,2
205,9,36,2
206,15,41,5
207,21,25,2
208,29,40,1
209,165,47,4
210,169,11,3
211,138,19,1
212,193,42,4
213,144,19,3
214,14,48,4
215,110,3,1
216,33,41,2
217,128,37,5
218,66,20,5
219,200,38,2
220,116,46,2
221,116,18,5
222,6,12,5
223,188,16,1
224,26,3,3
225,52,34,2
226,102,30,2
227,116,49,2
228,199,17,3
229,80,2,1
230,174,2,2
231,94,45,4
232,99,11,3
233,26,49,3
234,200,23,4
235,112,12,1
236,148,18,1
237,46,24,4
238,162,6,3
239,148,19,3
240,119,23,5
241,112,35,3
242,150,48,5
243,140,39,5
244,128,44,1
245,155,31,2
246,98,17,2
247,118,19,4
248,26,49,5
249,31,6,5
250,2,37,3
251,10,46,4
252,92,44,4
253,98,42,3
254,100,30,5
255,134,27,4
256,137,7,3
257,56,29,4
258,2,20,1
259,159,19,1
260,110,16,1
261,169,34,1
262,154,2,1
263,187,42,2
264,53,18,2
265,177,20,1
266,59,8,4
267,150,33,4
268,171,24,3
269,178,50,4
270,175,2,2
271,15,37,2
272,144,18,2
273,193,39,1
274,70,13,5
275,87,8,2
276,141,28,4
277,139,39,5
278,108,36,5
279,131,49,5
280,192,2,5
281,40,43,5
282,5,40,2
283,73,42,5
284,33,42,5
285,175,6,2
286,69,35,4
287,56,21,5
288,120,9,2
289,36,35,5
290,152,11,5
291,46,36,4
292,127,2,2
293,181,7,5
294,166,46,5
295,161,33,4
296,176,41,4
297,113,47,5
298,43,39,3
299,148,41,2
300,1,50,2
301,177,49,5
302,69,14,1
303,109,14,2
304,30,3,1
305,19,8,2
306,37,10,3
307,8,21,2
308,21,7,2
309,141,8,2
310,59,5,1
311,181,31,3
312,156,10,3
313,98,7,1
314,199,24,5
315,29,2,2
316,26,5,5
317,193,28,5
318,99,12,2
319,118,10,1
320,8,14,4
321,5,23,3
322,157,44,4
323,3,20,3
324,168,20,3
325,117,32,1
326,176,50,2
327,159,29,2
328,51,32,2
329,101,37,3
330,59,48,3
331,114,31,4
332,138,2,2
333,20,12,5
334,180,47,2
335,17,27,1
336,137,44,3
337,1,35,5
338,117,3,2
339,68,8,4
340,141,27,5
341,84,8,3
342,188,15,3
343,151,6,5
344,70,47,2
345,172,32,5
346,157,44,2
347,96,45,3
348,190,6,4
349,139,10,2
350,61,46,1
351,135,9,2
352,179,1,4
353,139,27,5
354,146,12,1
355,38,37,2
356,73,30,2
357,184,4,4
358,173,30,2
359,157,9,2
360,108,19,1
361,108,24,2
362,43,24,2
363,185,1,3
364,128,6,5
365,31,45,2
366,72,40,5
367,48,26,5
368,32,49,5
369,68,28,2
370,1,47,5
371,100,37,5
372,125,17,2
373,57,15,2
374,196,19,3
375,100,44,4
376,198,41,2
377,38,3,2
378,192,14,2
379,178,34,4
380,144,16,4
381,84,49,2
382,158,29,3
383,54,35,4
384,190,39,3
385,37,46,3
386,173,27,4
387,83,41,5
388,140,32,1
389,8,36,4
390,108,44,4
391,79,17,3
392,157,47,5
393,192,49,4
394,21,30,5
395,178,50,3
396,82,29,1
397,123,21,3
398,72,5,1
399,180,50,1
400,28,40,2
