id,customer_id,order_date
1,38,2025-08-06
2,26,2025-08-27
3,53,2025-05-10
4,5,2025-04-04
5,43,2025-10-20
6,90,2025-07-15
7,2,2025-05-29
8,83,2025-07-13
9,77,2025-05-14
10,40,2025-10-03
11,100,2025-06-07
12,60,2025-01-11
13,37,2025-08-10
14,46,2025-10-26
15,72,2025-02-14
16,34,2025-04-19
17,44,2025-09-02
18,20,2025-11-11
19,30,2025-10-04
20,41,2025-01-17
21,73,2025-08-14
22,30,2025-05-16
23,99,2025-04-13
24,49,2025-10-01
25,77,2025-06-02
26,18,2025-06-08
27,55,2025-04-15
28,69,2025-05-16
29,40,2025-06-21
30,65,2025-02-25
31,13,2025-04-27
32,23,2025-04-02
33,71,2025-03-10
34,7,2025-07-14
35,67,2025-02-24
36,50,2025-10-27
37,16,2025-10-15
38,17,2025-07-24
39,64,2025-09-29
40,62,2025-03-04
41,27,2025-05-10
42,89,2025-08-20
43,9,2025-08-22
44,98,2025-03-11
45,100,2025-05-19
46,47,2025-07-21
47,59,2025-10-05
48,94,2025-08-06
49,63,2025-04-05
50,29,2025-02-25
51,59,2025-04-11
52,99,2025-06-15
53,55,2025-03-19
54,64,2025-06-23
55,20,2025-04-19
56,80,2025-07-28
57,54,2025-05-27
58,31,2025-09-20
59,59,2025-11-07
60,89,2025-10-22
61,13,2025-04-18
62,38,2025-04-26
63,88,2025-09-17
64,40,2025-10-23
65,13,2025-06-14
66,98,2025-06-24
67,6,2025-05-28
68,92,2025-01-17
69,8,2025-03-04
70,63,2025-10-22
71,95,2025-08-14
72,90,2025-04-13
73,72,2025-05-11
74,92,2025-06-27
75,5,2025-09-19
76,22,2025-04-05
77,10,2025-03-25
78,57,2025-03-15
79,7,2025-04-09
80,2,2025-06-07
81,31,2025-04-25
82,96,2025-02-22
83,9,2025-07-19
84,27,2025-09-14
85,21,2025-09-27
86,21,2025-07-17
87,7,2025-08-06
88,84,2025-07-18
89,38,2025-08-27
90,67,2025-06-23
91,8,2025-09-28
92,46,2025-07-25
93,73,2025-03-08
94,94,2025-04-26
95,71,2025-03-19
96,65,2025-06-13
97,69,2025-07-14
98,89,2025-07-02
99,78,2025-06-23
100,61,2025-06-17
101,54,2025-05-20
102,87,2025-08-06
103,68,2025-04-20
104,96,2025-09-29
105,56,2025-09-19
106,29,2025-07-06
107,43,2025-09-10
108,15,2025-08-17
109,73,2025-01-05
110,56,2025-03-31
111,74,2025-03-20
112,24,2025-09-17
113,65,2025-06-24
114,43,2025-06-29
115,74,2025-03-07
116,35,2025-08-10
117,48,2025-03-06
118,72,2025-04-09
119,57,2025-06-12
120,30,2025-06-03
121,99,2025-10-05
122,1,2025-10-07
123,92,2025-09-16
124,35,2025-08-19
125,87,2025-08-16
126,72,2025-01-28
127,6,2025-10-15
128,78,2025-09-19
129,85,2025-10-18
130,40,2025-05-10
131,34,2025-09-16
132,85,2025-02-22
133,46,2025-02-03
134,23,2025-10-01
135,31,2025-10-05
136,7,2025-10-09
137,74,2025-02-15
138,22,2025-03-07
139,7,2025-02-04
140,9,2025-07-25
141,63,2025-09-06
142,11,2025-09-07
143,38,2025-10-23
144,21,2025-03-14
145,11,2025-11-10
146,34,2025-11-01
147,41,2025-04-26
148,18,2025-01-13
149,57,2025-02-12
150,79,2025-09-17
151,52,2025-08-12
152,72,2025-03-12
153,24,2025-06-23
154,60,2025-02-26
155,78,2025-03-22
156,63,2025-03-19
157,87,2025-08-23
158,77,2025-01-18
159,58,2025-07-14
160,53,2025-01-28
161,24,2025-11-08
162,23,2025-05-28
163,11,2025-11-01
164,83,2025-09-14
165,86,2025-08-16
166,76,2025-02-25
167,10,2025-01-06
168,61,2025-05-10
169,39,2025-08-20
170,23,2025-05-05
171,49,2025-08-04
172,19,2025-04-29
173,35,2025-03-16
174,11,2025-10-30
175,23,2025-05-16
176,16,2025-11-09
177,50,2025-10-28
178,88,2025-08-02
179,51,2025-04-13
180,100,2025-05-11
181,66,2025-07-30
182,97,2025-10-07
183,70,2025-01-17
184,20,2025-11-05
185,64,2025-03-12
186,36,2025-04-28
187,57,2025-06-04
188,32,2025-09-09
189,16,2025-04-12
190,83,2025-05-04
191,78,2025-04-10
192,1,2025-03-30
193,25,2025-10-15
194,40,2025-08-24
195,14,2025-05-06
196,28,2025-08-12
197,15,2025-03-24
198,88,2025-11-08
199,7,2025-07-06
200,53,2025-05-30
