id,title,price
1,Example,63.6
2,On,311.77
3,Very,74.69
4,Probably,18.19
5,Similar,460.1
6,Air,121.69
7,Close,76.33
8,As,105.43
9,Art,259.48
10,Today,95.2
11,Spend,389.95
12,Drop,357.48
13,Ready,400.11
14,Soldier,171.54
15,Either,274.48
16,Happy,478.71
17,Past,337.23
18,Family,462.38
19,Design,72.36
20,Lose,374.51
21,Officer,40.48
22,Friend,10.72
23,Character,272.3
24,Anything,216.96
25,By,278.67
26,Food,147.51
27,White,492.78
28,Doctor,257.45
29,Enter,74.2
30,Front,402.3
31,Wide,337.12
32,Goal,230.3
33,Meeting,126.94
34,Executive,286.85
35,More,235.2
36,Way,432.5
37,Ok,414.22
38,Radio,222.92
39,Stay,249.87
40,Grow,55.5
41,Product,65.39
42,Image,253.89
43,Personal,13.0
44,Require,394.92
45,Performance,467.47
46,Keep,53.78
47,Center,210.9
48,Fast,471.77
49,After,362.76
50,Best,377.66
